images\000000000000.tif  labels\000000000000.tif 
images\000000000191.tif  labels\000000000191.tif 
images\000000000192.tif  labels\000000000192.tif 
images\000000000193.tif  labels\000000000193.tif 
images\000000000194.tif  labels\000000000194.tif 
images\000000000195.tif  labels\000000000195.tif 
images\000000000196.tif  labels\000000000196.tif 
images\000000000197.tif  labels\000000000197.tif 
images\000000000198.tif  labels\000000000198.tif 
images\000000000199.tif  labels\000000000199.tif 
images\000000000200.tif  labels\000000000200.tif 
images\000000000201.tif  labels\000000000201.tif 
images\000000000202.tif  labels\000000000202.tif 
images\000000000203.tif  labels\000000000203.tif 
images\000000000204.tif  labels\000000000204.tif 
images\000000000205.tif  labels\000000000205.tif 
images\000000000206.tif  labels\000000000206.tif 
images\000000000207.tif  labels\000000000207.tif 
images\000000000208.tif  labels\000000000208.tif 
images\000000000209.tif  labels\000000000209.tif 
images\000000000210.tif  labels\000000000210.tif 
images\000000000211.tif  labels\000000000211.tif 
images\000000000212.tif  labels\000000000212.tif 
images\000000000213.tif  labels\000000000213.tif 
images\000000000214.tif  labels\000000000214.tif 
images\000000000215.tif  labels\000000000215.tif 
images\000000000216.tif  labels\000000000216.tif 
images\000000000217.tif  labels\000000000217.tif 
images\000000000218.tif  labels\000000000218.tif 
images\000000000219.tif  labels\000000000219.tif 
images\000000000220.tif  labels\000000000220.tif 
images\000000000221.tif  labels\000000000221.tif 
images\000000000222.tif  labels\000000000222.tif 
images\000000000223.tif  labels\000000000223.tif 
images\000000000224.tif  labels\000000000224.tif 
images\000000000225.tif  labels\000000000225.tif 
images\000000000226.tif  labels\000000000226.tif 
images\000000000227.tif  labels\000000000227.tif 
images\000000000228.tif  labels\000000000228.tif 
images\000000000229.tif  labels\000000000229.tif 
images\000000000230.tif  labels\000000000230.tif 
images\000000000231.tif  labels\000000000231.tif 
images\000000000232.tif  labels\000000000232.tif 
images\000000000233.tif  labels\000000000233.tif 
images\000000000234.tif  labels\000000000234.tif 
images\000000000235.tif  labels\000000000235.tif 
images\000000000236.tif  labels\000000000236.tif 
images\000000000237.tif  labels\000000000237.tif 
images\000000000238.tif  labels\000000000238.tif 
images\000000000239.tif  labels\000000000239.tif 
images\000000000240.tif  labels\000000000240.tif 
images\000000000241.tif  labels\000000000241.tif 
images\000000000242.tif  labels\000000000242.tif 
images\000000000243.tif  labels\000000000243.tif 
images\000000000244.tif  labels\000000000244.tif 
images\000000000245.tif  labels\000000000245.tif 
images\000000000246.tif  labels\000000000246.tif 
images\000000000247.tif  labels\000000000247.tif 
images\000000000248.tif  labels\000000000248.tif 
images\000000000249.tif  labels\000000000249.tif 
images\000000000250.tif  labels\000000000250.tif 
images\000000000251.tif  labels\000000000251.tif 
images\000000000252.tif  labels\000000000252.tif 
images\000000000253.tif  labels\000000000253.tif 
images\000000000254.tif  labels\000000000254.tif 
images\000000000255.tif  labels\000000000255.tif 
images\000000000256.tif  labels\000000000256.tif 
images\000000000257.tif  labels\000000000257.tif 
images\000000000258.tif  labels\000000000258.tif 
images\000000000259.tif  labels\000000000259.tif 
images\000000000260.tif  labels\000000000260.tif 
images\000000000261.tif  labels\000000000261.tif 
images\000000000262.tif  labels\000000000262.tif 
images\000000000263.tif  labels\000000000263.tif 
images\000000000264.tif  labels\000000000264.tif 
images\000000000265.tif  labels\000000000265.tif 
images\000000000266.tif  labels\000000000266.tif 
images\000000000267.tif  labels\000000000267.tif 
images\000000000268.tif  labels\000000000268.tif 
images\000000000269.tif  labels\000000000269.tif 
images\000000000270.tif  labels\000000000270.tif 
images\000000000271.tif  labels\000000000271.tif 
images\000000000272.tif  labels\000000000272.tif 
images\000000000273.tif  labels\000000000273.tif 
images\000000000274.tif  labels\000000000274.tif 
images\000000000275.tif  labels\000000000275.tif 
images\000000000276.tif  labels\000000000276.tif 
images\000000000277.tif  labels\000000000277.tif 
images\000000000278.tif  labels\000000000278.tif 
images\000000000279.tif  labels\000000000279.tif 
images\000000000280.tif  labels\000000000280.tif 
images\000000000281.tif  labels\000000000281.tif 
images\000000000282.tif  labels\000000000282.tif 
images\000000000283.tif  labels\000000000283.tif 
images\000000000284.tif  labels\000000000284.tif 
images\000000000285.tif  labels\000000000285.tif 
images\000000000286.tif  labels\000000000286.tif 
images\000000000287.tif  labels\000000000287.tif 
images\000000000288.tif  labels\000000000288.tif 
images\000000000289.tif  labels\000000000289.tif 
images\000000000290.tif  labels\000000000290.tif 
images\000000000291.tif  labels\000000000291.tif 
images\000000000292.tif  labels\000000000292.tif 
images\000000000293.tif  labels\000000000293.tif 
images\000000000294.tif  labels\000000000294.tif 
images\000000000295.tif  labels\000000000295.tif 
images\000000000296.tif  labels\000000000296.tif 
images\000000000297.tif  labels\000000000297.tif 
images\000000000298.tif  labels\000000000298.tif 
images\000000000299.tif  labels\000000000299.tif 
images\000000000300.tif  labels\000000000300.tif 
images\000000000301.tif  labels\000000000301.tif 
images\000000000302.tif  labels\000000000302.tif 
images\000000000303.tif  labels\000000000303.tif 
images\000000000304.tif  labels\000000000304.tif 
images\000000000305.tif  labels\000000000305.tif 
images\000000000306.tif  labels\000000000306.tif 
images\000000000307.tif  labels\000000000307.tif 
images\000000000308.tif  labels\000000000308.tif 
images\000000000309.tif  labels\000000000309.tif 
images\000000000310.tif  labels\000000000310.tif 
images\000000000311.tif  labels\000000000311.tif 
images\000000000312.tif  labels\000000000312.tif 
images\000000000313.tif  labels\000000000313.tif 
images\000000000314.tif  labels\000000000314.tif 
images\000000000315.tif  labels\000000000315.tif 
images\000000000316.tif  labels\000000000316.tif 
images\000000000317.tif  labels\000000000317.tif 
images\000000000318.tif  labels\000000000318.tif 
images\000000000319.tif  labels\000000000319.tif 
images\000000000320.tif  labels\000000000320.tif 
images\000000000321.tif  labels\000000000321.tif 
images\000000000322.tif  labels\000000000322.tif 
images\000000000323.tif  labels\000000000323.tif 
images\000000000324.tif  labels\000000000324.tif 
images\000000000325.tif  labels\000000000325.tif 
images\000000000326.tif  labels\000000000326.tif 
images\000000000327.tif  labels\000000000327.tif 
images\000000000328.tif  labels\000000000328.tif 
images\000000000329.tif  labels\000000000329.tif 
images\000000000330.tif  labels\000000000330.tif 
images\000000000331.tif  labels\000000000331.tif 
images\000000000332.tif  labels\000000000332.tif 
images\000000000333.tif  labels\000000000333.tif 
images\000000000334.tif  labels\000000000334.tif 
images\000000000335.tif  labels\000000000335.tif 
